GENEID,logFC,p_value,adj_p,-log10_p
FAXDC2,-0.5223468642412978,0.66011195108043,0.7472997663575841,0.1803824044377814
FBF1,0.2358427620441539,0.11676486399554163,0.2081847549020531,0.9326878221935678
FBH1,0.05794217655089362,0.3854007462583525,0.5014085436426852,0.4140874487475851
FBL,0.017047059011087384,0.6894218794689854,0.7709047561348784,0.16151493795466526
FBLL1,-0.861654166907052,0.23947059480763758,0.35030318207384165,0.6207478070795298
FBLN2,1.1465410458523722,0.1517972993105559,0.2511051482037736,0.8187359550871561
FBLN5,1.0662982849633753,0.0006815540119209586,0.013959048184811912,3.16649972141443
FBLN7,2.8059449521105986,0.00250608214451736,0.022979794550362823,2.601004697776855
FBN1,0.2606682339908728,0.2656165577452773,0.37849473643010867,0.5757448558353785
FBP1,0.7583690793781228,0.16795844220335152,0.2707406378616796,0.7747981620504458
FBRS,-0.6126178923667567,0.0018529425018081632,0.02048071139377217,2.732138056954641
FBRSL1,0.1010433567056026,0.15709154807862136,0.25737814127781034,0.803847180469631
FBXL12,-0.11423897822434448,0.31097674935289105,0.4262762842108942,0.5072720804433004
FBXL13,0.4210114686112649,0.6230542634788899,0.7181819408209817,0.20547412781403532
FBXL14,-0.05073494487840868,0.5138017250592528,0.6243199131092116,0.2892044419488926
FBXL15,0.2585688066153349,0.06577397446186192,0.13899544139156245,1.1819459146451712
FBXL16,0.3845678189269073,0.07283149777167298,0.14907628999722636,1.1376807587360465
FBXL17,-0.5073440759352223,0.00538956460009509,0.033071359926634514,2.268446318192459
FBXL18,0.06492089845419535,0.3147553427319718,0.43000615902671063,0.5020268893398115
FBXL19,-0.08589392638644533,0.32456661950305793,0.4403101494481824,0.48869614782180076
FBXL19-AS1,-0.12363831534884628,0.6133115716787251,0.709732446266693,0.21231884116803157
FBXL20,0.3108980787377327,0.040616596258743594,0.10137460526645131,1.3912964740376303
FBXL22,-0.3688906182775149,0.20718071019876091,0.3135157277859318,0.6836506825379018
FBXL3,0.06783240396433143,0.20926753891326963,0.31588984018579563,0.6792981331719956
FBXL4,0.15475277939418497,0.2657546091444338,0.37853794814909464,0.5755191945050036
FBXL5,-0.11694794962910926,0.05017918819750428,0.11648276833872181,1.299476369011766
FBXL6,0.22070181355329233,0.031756475193081994,0.08685223044078495,1.4981677080442755
FBXL8,0.8036242410248295,0.0018647839261540658,0.020492223363534737,2.729371482952022
FBXO10,-0.06430477945831292,0.6766231004183133,0.7607276769927933,0.16965317915675146
FBXO11,0.16410946782722213,0.10804202925354152,0.19661484799261814,0.9664072674562717
FBXO15,1.799976868962879,0.013543138108989944,0.052586668823833844,1.8682806927033284
FBXO17,1.861654166907052,0.0054771503596853285,0.033274029417412435,2.2614453365798304
FBXO2,-0.09602628959253146,0.5792613022460805,0.6806411010697625,0.23712548372664546
FBXO21,-0.41009918296216696,0.005326566679007183,0.03298108764592625,2.2735526320251074
FBXO22,-0.5536278199639266,0.01626049853343815,0.058450453947629315,1.7888661434281632
FBXO24,0.8959002021034719,0.18767171010747216,0.29228208107947645,0.7266011885943549
FBXO25,0.12182352835216292,0.12116780103042095,0.21395745405816344,0.9166127736736054
FBXO27,-1.3899750004807707,0.07780185304934774,0.155886688316756,1.1090100590575793
FBXO28,-0.31340528388589384,0.00653430745539371,0.03639310834661599,2.1848004347458736
FBXO3,0.18986187390330755,0.02796373844334044,0.08013001952283133,1.5534047686637988
FBXO30,0.20349319185730685,0.057435892872317366,0.12709795073593594,1.2408166231992879
FBXO31,0.11274943189632936,0.20141016598627154,0.30745341955372835,0.6959186126288919
FBXO32,-0.5428193966655037,0.005243260567417233,0.03272630142901465,2.2803985591888964
FBXO33,-0.1854796072569087,0.07774171941914684,0.155886688316756,1.1093458582765339
FBXO34,0.3883426608567824,0.01675883282732307,0.059334607907325594,1.775756231189279
FBXO36,0.20587868375022111,0.500392045951728,0.611813200309133,0.3006896023094092
FBXO38,-0.10963019872198032,0.12589299905006676,0.21908252234887934,0.8999984204756433
FBXO38-DT,1.5283208335737186,0.14213042541487786,0.23943585625035702,0.847312944061311
FBXO39,-0.6531193385008847,0.46710799823345556,0.5799711846096463,0.3305826962769451
FBXO4,-0.3344344045132903,0.004412334244730303,0.030004976158932432,2.3553315961539445
FBXO41,0.05183572583599627,0.4278213208461477,0.5428267104606334,0.36873757578342636
FBXO42,0.07451560637536403,0.17408833209999686,0.2776284115056156,0.7592303355707539
FBXO43,0.6504647878322523,0.005573409506769547,0.03358402051767945,2.2538790459449642
FBXO44,0.46571932864477006,0.002023125228171831,0.02115704546199332,2.6939772342728086
FBXO45,-0.05013154795797092,0.5828905697433152,0.6838902273793607,0.23441297082838555
FBXO46,0.16218499782866758,0.06930936213582062,0.1439722633734836,1.1592080980100414
FBXO48,0.8126134368365809,0.02408786330552418,0.07308159525653507,1.6182017220346943
FBXO5,0.5638749320305632,0.0018062637224032531,0.02040050634092616,2.7432188404993085
FBXO6,-0.2977321496112513,0.015724040987494768,0.057339194521342764,1.8034358327850695
FBXO7,-0.11188437852607258,0.09379581687085188,0.17783403627218136,1.0278165299622635
FBXO8,0.2086291886416234,0.15478499996787845,0.25457608055970915,0.8102711285809137
FBXO9,0.004848736900296302,0.9470639753028804,0.9646544401548038,0.023620682894749122
FBXW11,-0.1980907770536433,0.06544497639361495,0.13849043559719557,1.1841236846100254
FBXW2,-0.09853704073119829,0.156117051137354,0.2562337142571861,0.806549660611838
FBXW4,0.20428617910483737,0.03007745566400767,0.08383102829676171,1.5217589047099631
FBXW5,-0.011822439691925979,0.816424029873082,0.8694646877190473,0.08808422114399203
FBXW7,-0.015633519743298407,0.836329723845932,0.8842250305916901,0.0776224677579937
FBXW8,-0.0416615073673281,0.5946884730152102,0.6934221175727643,0.2257104794499476
FBXW9,-0.13052138276199443,0.35066017548521605,0.466554251403275,0.45511355419009053
FCER1G,-0.9760153445850772,4.848443656489391e-05,0.005116328938007011,4.314397646938003
FCER2,-1.444633578851146,0.19711679494480613,0.3027125456180265,0.7052763709457672
FCF1,-0.2348515637436801,0.02395117983398837,0.07289508073873097,1.6206730883967992
FCGBP,-2.491298200465769,4.4563167968857275e-06,0.0026467205744615816,5.35102394300289
FCGR2A,-1.407464140445483,0.05166823909357289,0.11851424029562717,1.286776339402201
FCGR2B,0.2733404446312555,0.797893842572578,0.8553442027377222,0.09805488640839283
FCGR3A,-0.09364971529538302,0.5774796601637721,0.6792217202711437,0.23846330777209515
FCGR3B,4.937392435171483,7.183518704132087e-05,0.00607291826289424,4.143662773103245
FCGRT,0.688738966303946,0.0003777304916913244,0.011238515004851343,3.422817956028215
FCHO1,0.25305785539747205,0.020927838049597667,0.06766086527318806,1.6792756341374693
FCHO2,1.653877115169557,0.004297261583048838,0.02949531191869976,2.366808209123417
FCHSD1,0.5752154423245397,0.0032620267961279347,0.025892960196017063,2.486512475741267
FCHSD2,-0.17487391075895964,0.0368622121699768,0.09504695715335858,1.433418605514512
FCMR,1.2676754277598512,2.262392747862855e-05,0.00411009371864404,4.645432000019064
FCRL1,1.1949875002403854,0.16530854129431438,0.26722585759967876,0.7817047063731604
FCRL3,5.170790037890062,0.0006879285090929614,0.013959048184811912,3.162456692170983
FCRL6,3.815091185213546,0.003188180854871067,0.02568798150713229,2.49645705049904
FCRLB,-0.6793619254840957,0.05282429301138466,0.12038975734090696,1.2771663067377235
FCSK,0.13341600583428637,0.17130372626785917,0.27475849849499684,0.766233189982719
FDFT1,-0.1631342654599166,0.05483728111873554,0.12332409378955803,1.2609240860561584
FDPS,-0.01614051455762322,0.7528602587302832,0.8217176683073658,0.12328562737742632
FDX1,-0.28877858090240416,0.003802831298493569,0.02774068777632408,2.4198929403676517
FDX2,-0.34429486842266144,0.07371203667750266,0.15033804494705755,1.1324615889958745
FDXACB1,-0.3065699829063888,0.0961834008152184,0.1814342136000756,1.0168998713756217
FDXR,-0.3177203235973298,0.021146270439573525,0.06806078887274407,1.6747662179031297
FECH,-0.196340074338476,0.09872492410888505,0.18475896208300602,1.0055731914390265
FEM1A,-0.23145629143516544,0.07480601702153365,0.15177169450834385,1.126063468256501
FEM1B,0.03663911514235707,0.60267604079351,0.7004627202498312,0.21991607343668018
FEM1C,0.27065327406094397,0.06238869059099473,0.13452521784473306,1.2048941292129305
FEN1,-0.418849144243147,0.0026898481721038783,0.023616728655536212,2.5702722329635317
FER,0.11709237442160969,0.5729785702611883,0.675264193634732,0.2418616206004157
FERMT2,0.05066769781501623,0.959832976816927,0.9735955275975529,0.017804333166260365
FERMT3,-0.1399631883009924,0.0652392965051045,0.1383105482827647,1.185490730734129
FES,-0.17382809506809238,0.023278609341757184,0.07156302093682411,1.63304296788988
FEZ1,0.5896818550533758,0.20709591168663233,0.31341517935772956,0.6838284744984416
FEZ2,-0.04138041577026286,0.43772524193114265,0.551935980872596,0.35879840857235284
FGD1,0.33333333333333337,0.7971709587729638,0.8548531883672474,0.0984485311887912
FGD2,-0.8084728890819859,0.011890913380610381,0.048918604625556125,1.9247847844962311
FGD3,0.2872683783167087,0.014210903303935365,0.054085044733965734,1.847378315637186
FGD4,-0.879143306871764,0.06301923170697586,0.13545367147388632,1.200526895789991
FGD5,3.1962382118607544,0.0191306245118572,0.06394273466919669,1.7182708523654668
FGD5-AS1,-0.0659661676772405,0.5174570704955193,0.6275553638921806,0.2861256745092346
FGD6,-0.6754946405002289,0.3096205130001,0.42488742585856426,0.5091702741272753
FGF11,2.8517641903538964,0.0005930029039816348,0.01313451438559582,3.22694317985646
FGF14-AS2,0.012920750426374639,0.9571838745240374,0.9715780447721699,0.019004626465013805
FGF17,0.8616541669070521,0.21341845292906517,0.32048425260900865,0.6707680326210237
FGF2,-2.528320833573719,0.012907496923045369,0.05129656154406464,1.8891579698100502
FGF22,1.0566416671474375,0.2965225536979852,0.4114500405866981,0.5279422683231013
FGF9,0.879143306871764,0.29987789436025414,0.4148250143369834,0.5230555472821511
FGFBP2,1.8877294463046805,0.0016538214724696769,0.019722283020506055,2.7815113736867065
FGFBP3,-0.5124328240791467,0.022378073294475016,0.07000069183585786,1.650177308048878
FGFR1,-0.530421730631037,0.009873188401596105,0.04427752280578903,2.005542575637347
FGFR1OP2,0.32172702351850546,0.05229765792143377,0.11957251363292602,1.2815177599773344
FGFR3,-0.3808304128176623,0.2021710093229256,0.30789577818319197,0.6942811207220455
FGFR4,0.8268329252662467,0.05711372373130764,0.12664992340729003,1.2432595235466897
FGFRL1,-0.09116599438193873,0.10887856155287755,0.19771578005513502,0.9630576254404165
FGGY,-0.2988078655191506,0.05604764061403791,0.12500007297452334,1.2514426647794625
FGGY-DT,0.0,1.0,1.0,-0.0
FGL2,1.6025980071468329,0.0002718842328594312,0.010006394492544195,3.5656159773359772
FGR,3.2793608944616888,0.006649684320624691,0.03656041826893363,2.177198971398385
FH,-0.45958719825525485,0.0026056693530849442,0.023344189324466694,2.584080695009174
FHAD1-AS1,-0.602451640685868,0.5883628291693368,0.6883716109704553,0.23035477237647153
FHDC1,1.3705027717389968,0.060403412230980176,0.1314526660721866,1.2189385270870183
FHIP1B,0.24784894272217173,0.02009291805833173,0.06593751473474352,1.6969569868653256
FHIP2A,0.17788973780633022,0.10741478552949359,0.195744562211841,0.9689359343542464
FHIP2B,0.344618200577262,0.003411000833737142,0.026342896951615322,2.4671181744397455
FHIT,2.6924394191502516,6.6851519445399565e-06,0.002961425832993308,5.174888717358566
FHL1,1.4480060001107118,0.00197564923825084,0.02097986028068878,2.704290158642214
FHL2,0.12304294186733156,0.4889491647456838,0.6011797023804479,0.31073629142459114
FHL3,1.0798413500620807,0.004948136738964632,0.03174770840772538,2.3055583073943198
FHOD1,0.3564578757960035,0.01864433111498984,0.06322264544294708,1.7294531927950179
FIBP,-0.13499005333568448,0.09246978743311797,0.17608235503962483,1.0340001407137056
FICD,-0.4931267173950946,0.021799127976691063,0.06911447967723011,1.66156087898649
FIG4,-0.1440616728350541,0.29376910807111756,0.40889192750268766,0.5319938753246214
FIGNL1,0.2947802973937854,0.014147396200520542,0.05395155982945273,1.849323483800588
FIGNL2,0.3123300674913998,0.22933610938753723,0.33934431505163964,0.6395275594301164
FILIP1L,-2.266519508981589,0.00025859582966404344,0.009971394958789322,3.587378483200782
FIP1L1,-0.05882094351239431,0.34914477705970826,0.4649727332019526,0.4569944502894802
FIRRE,0.9277655501817934,0.008306537552675368,0.040583900683624365,2.080579967205614
FIS1,0.09329332532620782,0.2926685416047883,0.40778094011002913,0.5336239565606947
FITM1,0.28285407306370836,0.0833234752252688,0.16345950447121368,1.0792326249498905
FITM2,0.08562608190837295,0.4141200691666921,0.5294152134421022,0.3828737221246423
FIZ1,-0.05909576806137906,0.4830517423577768,0.5953861136227899,0.3160063470602875
FKBP11,0.02037329688426226,0.8128977970480972,0.8665869080585776,0.08996405338279824
FKBP14,-0.10004725584520635,0.029012642526484306,0.08196011520674483,1.5374127130310327
FKBP15,0.10597986604029153,0.2606742789643478,0.3730475350843204,0.5839018190615821
FKBP1A,-0.09912069815275792,0.13339436787725262,0.22873651046392418,0.8748625066373624
FKBP1B,-0.2671730907375629,0.13179275946159852,0.22674037410091857,0.8801084487120427
FKBP2,-0.19498750024038536,0.8277536096692457,0.8773304612910693,0.08209891669970339
FKBP3,0.15451576074210926,0.045822413163519246,0.10968732122139307,1.3389220431255908
FKBP4,0.04160339909176969,0.583993827645285,0.684620209699906,0.2335917430139003
FKBP5,0.2753022115360917,0.004372218915003149,0.029806140683237038,2.3592981012516834
FKBP7,0.1716094426590331,0.5051091196388772,0.6162351840231266,0.2966147903213723
FKBP8,0.451688370141758,0.005705963002654267,0.03395278866032166,2.243671048626224
FKBP9,-0.19686968795409987,0.8184764872633228,0.8710063935289365,0.08699379224283561
FKBPL,0.6697821576728469,0.03647305975299311,0.09432840245371245,1.43802780186031
FKRP,-0.2407925549610752,0.04418891977249871,0.10693129983774416,1.3546866149250827
FKSG29,1.0566416671474375,0.18350341907227397,0.2879169319640963,0.7363558394751704
FKTN,0.09319483760257619,0.3107043740759449,0.4260397138345039,0.5076526327325545
FLACC1,0.5130468175296583,0.15487259591902452,0.2546956202339351,0.8100254220990456
FLAD1,-0.15134182153705744,0.13805805457874326,0.23427486042912607,0.8599382506903577
FLCN,-0.40463326480220907,0.002202423591198954,0.02172778028128512,2.6570991496565646
FLG-AS1,0.33333333333333337,0.5592621173339444,0.6633257827255549,0.25238459742488345
FLI1,0.3526906355617161,0.004235684626378882,0.02926821218221375,2.3730763833431694
FLICR,0.8109864690920352,0.36078374082741776,0.47708718771177117,0.4427530427155805
FLII,0.024207932869027005,0.7271470830904029,0.7999929608255901,0.13837773368878145
FLJ13224,-0.7739760316291207,0.25759190258107867,0.36990387826917936,0.589067793174135
FLJ20021,0.6232245661512481,0.02612426161808669,0.07679876323843456,1.5829559757027944
FLJ20712,1.5479520632582415,0.18350341907227394,0.2879169319640963,0.7363558394751705
FLJ22447,1.6044302789051326,0.1250434463635437,0.21825091307749753,0.9029390650908893
FLJ30679,0.6666666666666666,0.3008529753146216,0.4155343140931574,0.5216456891537694
FLJ32255,-0.5405953796873391,0.005153096716098975,0.03235273258118463,2.2879317063893185
FLJ38576,1.53577677124987,0.144435696690899,0.24231539369196212,0.8403254593980579
FLJ42627,-2.380137373736537,4.1397636892102564e-05,0.005066785658817151,4.383024449072609
FLJ45513,1.0985657331967094,0.038144848562731884,0.09706445818890962,1.4185641049395483
FLJ46875,0.18749874009915146,0.33335094478683275,0.44912300466467403,0.4770983096545817
FLJ46906,1.107309364962454,0.2657021081175934,0.37849473643010867,0.5756049998230458
FLNA,-0.6531563127133566,0.0014948820953190316,0.019094108593997093,2.825393059762041
FLNB,1.1448600712757528,0.002058061649394514,0.02124738888023321,2.6865416200542285
FLOT1,0.7263409114309116,0.001940361981850934,0.0208793708658276,2.712117243236916
FLOT2,0.07027346242147203,0.11818800720849888,0.20992486828339482,0.9274265900149712
FLT1,-0.9581563726387139,0.20465207164588714,0.3107908783901125,0.6889838547332316
FLT3LG,-0.08229093865664794,0.14198524162626514,0.23923847767653966,0.8477567951477444
FLT4,2.56825821040722,0.0003919250832464381,0.011382490895577252,3.406796940740025
FLVCR1,-0.002511636314510568,0.9624708842084484,0.975610808430443,0.016612399501399457
FLVCR1-DT,-2.761843552738692,0.004072550314931399,0.028695790740144417,2.3901335414302376
FLVCR2,-0.7215979479093795,0.05252492892247203,0.11994760781078562,1.2796345266154714
FLYWCH1,0.5912711919947782,0.0005565018892623013,0.012825077952675195,3.2545333569450867
FLYWCH2,0.3519843911049527,0.015229779500653068,0.056263821731707325,1.8173063844080717
FMC1,-0.2564623572861944,0.7376356121115039,0.8090586399689776,0.13215812426168555
FMN1,-0.21899627187866155,0.3606124421041238,0.476993037760539,0.44295929302142373
FMNL1,-0.0948975829390104,0.20026751446059343,0.3060100522945199,0.6983894922176674
FMNL1-AS1,1.2899845455978838,0.22254117820941313,0.3313860917581224,0.6525896169775453
FMNL1-DT,0.7062249325812449,0.0015983852118004788,0.019441526540839353,2.796318547175625
FMNL2,-1.2031385148152314,0.014545697647129596,0.05474914673132734,1.8372654440949798
FMNL3,-0.5825268675999578,0.0020574176136941664,0.02124738888023321,2.686677546460468
FMO4,0.42569191270311446,0.08577906527680917,0.16697137382580823,1.0666186905210029
FMO5,-0.4600623078735122,0.08064251893243554,0.15996425784750862,1.0934359151573354
FMOD,-0.787523359794903,0.5231754261080088,0.632201157065275,0.2813526633006265
FMR1,0.051307339132886653,0.5023004506357398,0.6133122261909429,0.29903643221566995
FMR1-AS1,-0.24565519805540204,0.8077783031600858,0.8624213868749475,0.09270781611329013
FN1,-6.854587969281662,0.0026308523404133363,0.02341894720001983,2.5799035265031516
FN3K,2.8680728232938435,0.008235003726947805,0.04041087578009668,2.084336199943832
FN3KRP,0.24811220764838993,0.004484293007316268,0.0302236006956281,2.348306017998749
FNBP1,-0.019738684675516538,0.7009450163910389,0.7794236092115956,0.15431604767457546
FNBP1L,0.44064269829578717,0.5646646071286286,0.6681525426784639,0.24820943275266566
FNBP4,0.23014622194035006,0.0070840743928308495,0.03771032992717345,2.1497168867498497
FNDC10,-0.5715792161715729,0.0030583712782261763,0.0251821631235624,2.5145097935158573
FNDC11,-1.026872820069427,0.29808357572448285,0.4131125809646968,0.525661952745412
FNDC3A,-0.355785126164216,0.03387959860492702,0.090120955921392,1.4700617436984122
FNDC3B,-0.5763923950230492,0.0003736450820364579,0.011194275554274722,3.4275407296087614
FNDC8,1.0566416671474372,0.18350341907227397,0.2879169319640963,0.7363558394751704
FNIP1,0.12554755493586178,0.06950374427511845,0.14427074765846576,1.157991798658503
FNIP2,-0.14413920345052667,0.21842701782837975,0.32653241325304433,0.660693643586063
FNTA,0.2662683194024371,0.07131796578897046,0.14679061892282633,1.1468010527544559
FNTB,-0.3471930345837997,0.36959646404074925,0.4862931517392615,0.4322721923624738
FOCAD,-0.2660268860708719,0.040030687113696124,0.1003277568981731,1.3976069553076953
FOS,0.06936573073357089,0.24874566032313764,0.36049288468089635,0.6042444873225582
FOSB,-0.6768407262625322,0.005942692443729492,0.03458368527183121,2.2260167455027644
FOSL1,-1.9854714860459852,0.0015028243265593547,0.019094108593997093,2.823091783528148
FOSL2,-0.769252171779307,0.00013004758029315977,0.007553818124715271,3.8858977240148587
FOSL2-AS1,1.9357849740192008,0.12158890872854432,0.21439068604619013,0.9151060393534175
FOXB1,-1.2618635780980343,7.733614073945251e-07,0.0012457205171972387,6.111617504067698
FOXD1,0.8798034282478437,0.2356309840308808,0.34631812671446355,0.6277676030661908
FOXD2,0.6027398695684045,0.20874965291588807,0.3151916731073935,0.6803742379370065
FOXD2-AS1,1.312745060062305,0.00017660412642411032,0.008725168886633994,3.752999153180395
FOXD4,0.2124766402050975,0.805644385057016,0.8614356748868989,0.09385661537605769
FOXE1,0.6666666666666666,0.3008529753146216,0.4155343140931574,0.5216456891537694
FOXJ1,1.5272011628770805,0.0003936567693958324,0.011394028221987507,3.40488227594817
FOXJ2,0.10577407373101089,0.2114746693928705,0.31829304858294105,0.6747416453183678
FOXJ3,-0.1924861951957677,0.0614600248337261,0.1331412969790106,1.211407268597245
FOXK1,0.14681215469461328,0.16592509190484053,0.2680195605806812,0.7800879331329345
FOXK2,-0.03306254223151228,0.42086187238571826,0.536347626472456,0.37586041699971956
FOXM1,0.24765017899023611,0.014449561951399634,0.05458091546996127,1.8401453186495493
FOXN2,-0.17524319571618285,0.009622679366408747,0.04364581554851585,2.0167039849238835
FOXN3,-0.41566914067685445,0.0019612630403005446,0.02096027781117921,2.7074641558018246
FOXN3-AS1,-0.391371186791865,0.14261150952170126,0.23993825120304596,0.8458454231513701
FOXO1,0.09428077806967394,0.36739943764679844,0.4837751713080713,0.4348615127745742
FOXO3,0.28518333765740245,0.027213425514596504,0.078873670657292,1.565216787567859
FOXO3B,-0.1016095455740631,0.6970089188640142,0.7766423924990715,0.15676166467294586
FOXO4,0.3577869074941322,0.037555339180516054,0.09619506932438467,1.4253283113415738
FOXO6,-0.7233083338141041,0.15132349660092376,0.25059652360880297,0.8200936321100495
