GENEID,logFC,p_value,adj_p,-log10_p
CDKN2B,-1.013794916548422,0.0004947384957802733,0.012218791816049259,3.305624295711226
CDYL2,-1.164089805523803,0.003048491465694436,0.025161473542611834,2.5159150164554123
CERCAM,1.699666754597465,9.045451784836327e-05,0.006649509156597677,4.043569736956578
CES3,1.142664775320478,0.003096701055948354,0.025338938156411136,2.5091007178006133
CFAP53,1.6889293789210784,0.00967521161974625,0.04379299795834701,2.0143395271583575
CFAP57,-1.968963531869506,0.011533943209938611,0.048160016714203946,1.9380221912701021
CFAP95,-3.9563170438303317,1.3808110936604494e-05,0.003976612284518202,4.85986573242249
CFAP95-DT,-2.4554407380819385,0.00686802999052538,0.03703358009100155,2.1631678170796644
CFAP97D2,1.4309564437536713,0.0015436762552508343,0.019316398714692058,2.811443776086214
CFD,1.6855107116074262,0.004897803550395879,0.03158781286901373,2.3099986382986955
CFH,2.954886559434107,0.0024670664347363246,0.022784097486956104,2.607819155394369
CHDH,-1.6320574718653065,0.0001607749358742935,0.00829147217556037,3.7937816549651977
CHIT1,-1.6888079970680785,0.0061797059103651285,0.03528279432674868,2.209032192313234
CHN2,-1.2289439164088618,0.00018719680617254326,0.009055976937701193,3.727701565178432
CHRNA6,-4.406641589620937,0.004035028137880734,0.028568411620739427,2.394153432420541
CHRNA7,-2.0,0.0,0.0,inf
CHRNA9,-1.8359315467328987,0.010441611509036618,0.04562894836187547,1.981232469200415
CHST2,-1.8211897315616072,0.0011187241860655158,0.01706740905347931,2.9512769726625288
CITED2,1.3833775892604745,0.0007577227604039454,0.01449006895791509,3.120489667258451
CKAP4,-1.7989709159523084,0.0006344806405126106,0.013543782372542315,3.197581624706887
CLEC4A,1.3248326454158046,0.0019739606813737307,0.02097986028068878,2.7046615021387668
CLIC3,1.4388264982969368,0.0023843567018783105,0.022458720020946447,2.622628773231614
CLNK,-2.7381063736002553,0.003571435151422728,0.02693121583838334,2.4471572311995136
CLU,2.4529568808517865,3.982865001996646e-06,0.0026467205744615816,5.399804413621181
CMPK2,-2.6432923759722176,3.0183411461058054e-06,0.002361018499964479,5.520231675926157
CMTM4,1.412705062294128,0.003919251637067935,0.028189113114199357,2.4067968515814426
CNR2,-1.8194470944999024,0.0005394860630515819,0.012728418093085916,3.2680197702914957
CNTNAP1,-1.9126652539750069,1.8105565060184213e-06,0.0022032874037105194,5.7421879166525205
COL18A1,1.2092469719021182,0.0018242376151478168,0.020400750893079928,2.7389185935150486
COL1A2,5.524075504264565,0.0009256581618821073,0.015791672757703042,3.033549365172471
COL27A1,3.58875094037815,0.00729085639414268,0.0382753049819664,2.137221455851285
COL6A2,-1.5939437316439893,0.0027494127237857433,0.02389400564075783,2.5607600618267448
COL9A2,-1.7442409624134072,0.00105537024577692,0.016617048052859632,2.976595154120476
COLEC11,2.7233083338141038,0.0037430382822786425,0.02760423611009063,2.426775731074905
CORO6,1.8257061174681146,0.0047251879819940334,0.031097771288729682,2.3255809092883157
COX6B2,2.587500228757782,0.007500340553269285,0.038700605423652605,2.1249190170019157
CPA5,4.99988257884279,0.001798054257739883,0.02036165289086471,2.7451972072181965
CPLANE1,-1.0412402707690358,0.0011753484807669398,0.01744043694731636,2.9298333497020996
CPLX1,1.6270673068192822,0.0030371087466913053,0.025103923556266904,2.5175396574586117
CPNE7,2.5952773917392795,0.002745079047634196,0.02389400564075783,2.561445145036458
CPQ,1.0374527073304751,3.584404288429744e-06,0.0026467205744615816,5.445583011752147
CPS1,2.4972843654432246,0.0012303948558192049,0.01776116056874435,2.909955493288746
CPT1B,1.176324183963458,0.010553159074089501,0.04583323944766694,1.976617515430171
CPZ,2.635630198536173,0.004367219048132459,0.02978394556108547,2.359795024472205
CRACD,-3.2130130578256493,0.0025605541249304805,0.0231759369178334,2.5916660396264204
CREB3L3,1.6328743265416397,0.004657413624601245,0.030899243382795434,2.331855190689776
CREG2,2.0128498863100166,0.008640671250538865,0.04143688372520421,2.0634525180441012
CRISPLD1,-1.6806067252315429,0.007311728930986754,0.038302242046470016,2.135979917651528
CRYBG2,1.3883308463127246,0.0012077585574781472,0.017600281136323635,2.9180198766711904
CSAG3,-4.627292902533482,0.0009176276945142242,0.015701731602424253,3.037333487659965
CSF1,-1.35271456496403,1.422266355805682e-05,0.003976612284518202,4.847019063223533
CSF2,-3.6785497115878263,0.0002985155897238011,0.01046486276730353,3.525032983280925
CSF2RB,-3.024080375085436,8.753672311510724e-07,0.0012457205171972387,6.057809714972888
